provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N CIANDUR 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F20DBF28224DB6F6EA6C
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N GIRIJAYA 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D591F0A238412E6F4A4C
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N GIRIJAYA 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FFC3D6F7C0FFEF20A3EE
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N KADUDAMPIT 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6C13F41BE5B5D13BF69
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N KADUDAMPIT 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5E97E8BC5252DC1CD245
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N KADUDAMPIT 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AACFCF74FC8158164703
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N MAJAU 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0077911B1C4137E9AB89
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N MAJAU 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8514AAE19918257B6FE
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N MEDALSARI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE6ABDC03EE491865F2A
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N MEDALSARI 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A4ED23AC3E9B94CBF6B9
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N MEKARWANGI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CDE947B6AC2767855CD
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N MEKARWANGI 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/92C2381B340BF1F3551C
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N PARIGI 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B7225D6FE5FEAEA0AE5
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N PARIGI 4,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/574E3C6B3778389A2C40
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N SAKETI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DBDF25FAB9F5328E83DD
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N SAKETI 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2748F11A6F7B12493AFB
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N SAKETI 4,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/33FDA1CBAE7D81657431
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N SINDANGHAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36AECC532427499CC82D
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N SODONG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC04A3D494BE4A98127A
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N SUKALANGU 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F872819BD9D3030F4026
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N SUKALANGU 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/31A0160C520CF8409028
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N TALAGASARI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1AECDF4D565497FC223A
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N TALAGASARI 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3342201061DF06434619
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N WANAGIRI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF19A8EE687B552E069F
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD N WANAGIRI 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B53AC9B90256E09818FC
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD NEGERI LANGENSARI 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB77B32674E5C860F4CE
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD NEGERI PARIGI 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4BF21D09138B81B2718B
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SD NEGERI SUKALANGU 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C04869DC451183253DF
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SDN CIANDUR 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C397EE187BC7DA5894D0
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SDN LANGENSARI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B4C5CA75ADEFC3CE989
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SDN SODONG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60EFBF85909498C54FD0
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SDN TALAGASARI 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FAD7A3DF59332E5D2B39
Prov. Banten,Kab. Pandeglang,Kec. Saketi,SDN Talagasari 4,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A4C5195E308B2FB95A04
