provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 001 BAGAN BATU,10405432,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4CC19D800BF4518BAC8D
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 002 BAHTERA MAKMUR,10405433,SD,Negeri,-,0,0,0,0,0,18,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC50C44F7C32F1FDE83E
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 003 BAGAN BATU,10405434,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5138B8AC2E36ACACC77F
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 004 PELITA BAGAN BATU,10405435,SD,Negeri,-,0,0,0,0,0,9,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D40E454AA6616396BB2
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 005 GELORA BAGAN SINEMBAH,10405436,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D614E67A133F73FA12E9
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 006 PELITA BAGAN SINEMBAH,10405437,SD,Negeri,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0ED77ACAF4EA95F7BDD4
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 007 BAGAN BATU,10405438,SD,Negeri,-,0,0,0,0,0,21,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/399AEBF975ABB8597779
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 008 BAGAN BATU,10405439,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F5D62327699E25E0628
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 009 HARAPAN MAKMUR,10405440,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED0CA87162A6AFD3F444
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 010 HARAPAN MAKMUR,10405441,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65CF91E2296470088627
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 011 BAGAN BATU,10405442,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51331BCE4514F39F4A9C
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 012 BAGAN BATU,10405443,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44DCDE654AC15DCC0ED9
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 013 KENCANA,10405445,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F2F21BD668CC6A0988E
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 014 BAGAN BAKTI,10405446,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/612343131133F8B6E442
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 015 BALAM SEMPURNA,10405447,SD,Negeri,-,0,0,0,0,0,15,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11FE149537436A9E146D
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 016 BALAM SEMPURNA,10405448,SD,Negeri,-,0,0,0,0,0,25,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E984C25486E685534A6C
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 017 BALAM SEMPURNA,10405449,SD,Negeri,-,0,0,0,0,0,16,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61C7E67D123296AE4198
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 018 BALAI JAYA,10405450,SD,Negeri,-,0,0,0,0,0,21,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B5062A375A0D9CC0A67
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 019 SALAK,10405451,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FC09DA7422F5C951B70
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 020 PASIR PUTIH,10405452,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68DACB0EAFF67A31D628
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 021 PANCA MUKTI,10405453,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A158179D1C93E1B1D49
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 022 PANCA MUKTI,10405454,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD3083CADF08665FB381
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 023 LUBUK JAWI,10405455,SD,Negeri,23 Aug 2019 21:24:01,1,127,6,8,2,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E92ADC06DBD9B77921CF
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 024 SALAK,10405457,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C991D813AA9C4DBB68F
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 025 PASIR PUTIH,10405458,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A6B8DC5C79B48EE157C
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 026 LUBUK JAWI,10405459,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E47BB3128BBD73AA39F8
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 027 BAGAN BATU,10405460,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30310B83D90FFF7A953A
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 028 BAHTERA MAKMUR,10405461,SD,Negeri,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA0F5131D3FADE2329FC
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 029 MAKMUR JAYA,10405462,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/117C15E8AB9E97DFB1AC
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 030 KENCANA,10405463,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5BD03893FC9588562C2E
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 031 BAKTI MAKMUR,10405487,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8883C97AE4D5CF66632B
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 032 PASIR PUTIH,10405465,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EFB5FDB164E9D62BFD20
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 033 PASIR PUTIH,10405466,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EFF6938809FBF844ACE5
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 034 BAHTERA MAKMUR,10405467,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F0668D1197A1339BFC4C
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 035 PASIR PUTIH,10405468,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44B7BBEA61F171DFDA9B
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 036 PASIR PUTIH,10405469,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2BCD67DD8E805FBB57EC
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 037 BAGAN SINEMBAH,10405470,SD,Negeri,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1146AB7FA3A192C44D8
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 038 BALAM SEMPURNA,10496619,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBDCEC7D344B5C7F6893
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 039 BAGAN SINEMBAH,10405472,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86D0C825F3BD47E52018
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 040 BAGAN SINEMBAH,10405473,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/12B1EA166F8F95F92EE9
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 041 KAMPUNG BARU,10405489,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B1BE5EACC243342474ED
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 042 SIMPANG PUJUD,69881036,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3732F3D7FB49B09B7784
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD NEGERI 043 SIMPANG MURINI,10405482,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1FB13C039AB823EFCFF6
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD IT AL-IMAM ASY-SYAFII,69982030,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99BB940AE74AFAA5DB4B
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD KAYANGAN,10405477,SD,Swasta,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A9B8EE2F13A8CF25283
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD METHODIST BALAM SEMPURNA KM32,10405485,SD,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07615519561C1465AE7D
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD PEMBANGUNAN BAGAN BATU,10405474,SD,Swasta,-,0,0,0,0,0,17,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D256F21AF63C50431620
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD SWASTA BAHTERA MAKMUR,10405475,SD,Swasta,-,0,0,0,0,0,16,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9DE6C6EF2C2B6A7B760
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD SWASTA BAKTI,10405488,SD,Swasta,-,0,0,0,0,0,15,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9163F118D02CAA27ECA0
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD SWASTA SUNGAI DUA,10405478,SD,Swasta,-,0,0,0,0,0,20,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CAE1E6D4271297B9A7D0
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SD YOSEF ARNOLDI BAGAN BATU,10405484,SD,Swasta,-,0,0,0,0,0,17,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B893B6F0F90D8FD142A
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS 059 AL-WASLIYAH,10405490,SD,Swasta,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BC017D50B4FA6FB9F1D
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS AL - MAJIDIYAH BAGAN BATU ,10405486,SD,Swasta,-,0,0,0,0,0,34,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4E3871F911B137B08BA
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS AL MAWADDAH,10405493,SD,Swasta,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8671E592E1A981B1797
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS ANANDA,10498649,SD,Swasta,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70237EC00CEE16D7FC58
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS BINA SISWA,10495856,SD,Swasta,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0EC820E447BC3C88FAC2
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS CIBALIUNG,10405483,SD,Swasta,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4609543508876D28ABC3
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS Don Bosco,10405476,SD,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F2E3DC49546A3F71094
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS HANGTUAH,10405492,SD,Swasta,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/64F51FCBC20C9CE3D07E
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS KARTINI,10496509,SD,Swasta,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EBB8532E77E0F9DEF46
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS KBN KENCANA PASIR PUTIH,10405481,SD,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2FDD066920E4E9EB708B
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS KEBUN KENCANA BALAI JAYA,10495855,SD,Swasta,-,0,0,0,0,0,7,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3DAE1F9A2B128C63B189
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS NUSANTARA,69924617,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5AAD63516A07B7D4ED01
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS PEMBINA BALAM,69827648,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA4F85528AF45DBB723F
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS SEI BALAM,10405480,SD,Swasta,-,0,0,0,0,0,21,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ACC33ADDB1541C0250D4
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS SEI RUMBIA,10405479,SD,Swasta,-,0,0,0,0,0,15,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6FBD4070FFD5142091EA
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS SUNGAI RUMBIA 2,10496513,SD,Swasta,-,0,0,0,0,0,17,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/578CF8F034536EFCC420
Prov. Riau,Kab. Rokan Hilir,Kec. Bagan Sinembah,SDS TRI ERLANGGA,10405491,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC3C071094F9654DD7D8
